"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.003397833E0,3.132368624E-1,-1.936811395E-2,4.055252671E-2,3.164442498E-1
1.013400833E0,3.329101205E-1,-5.120157078E-2,3.787585348E-2,3.389473845E-1
1.023403833E0,3.352409005E-1,-1.199694499E-1,3.731685877E-2,3.580107236E-1
1.033405833E0,3.063825667E-1,-2.540643215E-1,3.629497439E-2,3.996702163E-1
1.043408833E0,2.582773566E-1,-3.772181869E-1,3.650137037E-2,4.586208712E-1
1.053411833E0,1.873142570E-1,-5.279437900E-1,2.817476168E-2,5.608966870E-1
1.063414833E0,7.162788510E-2,-6.841927767E-1,3.971690312E-2,6.890774572E-1
1.073417833E0,-9.566917270E-2,-7.706117630E-1,5.478898808E-2,7.784580355E-1
1.083420833E0,-2.364787459E-1,-8.096172214E-1,1.806026697E-2,8.436399799E-1
1.093423833E0,-3.120610118E-1,-7.406726480E-1,-3.574668616E-2,8.045221390E-1
1.103425833E0,-3.544268310E-1,-5.033525229E-1,-2.527060919E-2,6.161337067E-1
1.113428833E0,-3.689884841E-1,-3.137505054E-1,-5.896455422E-2,4.879228420E-1
1.123431833E0,-3.776858151E-1,-1.576173604E-1,-1.089004278E-1,4.234962932E-1
1.133434833E0,-4.085157216E-1,-3.891953826E-2,-1.821735054E-1,4.489844221E-1
1.143437833E0,-4.187646210E-1,3.762770072E-2,-2.794798017E-1,5.048649435E-1
1.153440833E0,-3.643152118E-1,2.602965012E-2,-3.773061633E-1,5.251314665E-1
1.163442833E0,-2.366416752E-1,-1.057469938E-2,-4.604087770E-1,5.177715217E-1
1.173445833E0,-6.432764977E-2,2.414205298E-2,-4.900099635E-1,4.948036475E-1
1.183448833E0,1.336645186E-1,7.008157670E-2,-4.870232046E-1,5.098717807E-1
1.193451833E0,3.437593281E-1,5.165492743E-2,-4.599835277E-1,5.765618379E-1
1.203454833E0,5.513029695E-1,-1.066633314E-1,-4.285960495E-1,7.064039949E-1
1.213457833E0,7.020319700E-1,-3.637114167E-1,-4.068524837E-1,8.891927941E-1
1.223460833E0,7.162724137E-1,-6.749936342E-1,-3.901677728E-1,1.058722564E0
1.233462833E0,5.943025947E-1,-9.575594068E-1,-3.758802116E-1,1.188024211E0
1.243465833E0,3.989722729E-1,-1.145614624E0,-3.786829412E-1,1.270831425E0
1.253468833E0,1.923018396E-1,-1.199840546E0,-4.090461135E-1,1.282152899E0
1.263471833E0,1.212807000E-2,-1.190099478E0,-4.403923154E-1,1.269026890E0
1.273474833E0,-1.559063643E-1,-1.151961327E0,-4.507452846E-1,1.246793088E0
1.283477833E0,-2.936053872E-1,-9.422667027E-1,-4.386241734E-1,1.080028624E0
1.293480833E0,-4.038226604E-1,-6.114985943E-1,-4.226997197E-1,8.459777331E-1
1.303482833E0,-4.811936319E-1,-2.664517164E-1,-4.289687872E-1,6.975371309E-1
1.313485833E0,-5.147571564E-1,5.440342799E-2,-4.612473845E-1,6.933136467E-1
1.323488833E0,-4.911170304E-1,3.028697073E-1,-5.017474294E-1,7.646414062E-1
1.333491833E0,-4.217857718E-1,4.239033163E-1,-5.338631868E-1,8.016278196E-1
1.343494833E0,-3.119410276E-1,3.808026910E-1,-5.464202762E-1,7.354542898E-1
1.353497833E0,-1.762364507E-1,2.210231870E-1,-5.466979146E-1,6.154584840E-1
1.363499833E0,-3.094982915E-2,3.621631861E-2,-5.475448370E-1,5.496133752E-1
1.373502833E0,1.135166362E-1,-8.519895375E-2,-5.447518826E-1,5.629382754E-1
1.383505833E0,2.347272187E-1,-1.027782187E-1,-5.277652144E-1,5.866824959E-1
1.393508833E0,3.185294867E-1,-7.559981197E-2,-4.915900230E-1,5.906243444E-1
1.403511833E0,3.497902155E-1,-6.866414100E-2,-4.320313334E-1,5.601062687E-1
1.413514833E0,3.229813874E-1,-5.027351901E-2,-3.795010448E-1,5.008646986E-1
1.423517833E0,2.536984682E-1,1.739793830E-2,-3.535621464E-1,4.355132517E-1
1.433519833E0,1.645919234E-1,9.266436100E-2,-3.377627134E-1,3.869894516E-1
1.443522833E0,5.883726105E-2,1.551242769E-1,-3.225052059E-1,3.626775046E-1
1.453525833E0,-4.403744265E-2,2.095280141E-1,-3.035579622E-1,3.714683317E-1
1.463528833E0,-1.424026340E-1,2.569541037E-1,-2.691965401E-1,3.984604106E-1
1.473531833E0,-2.340811193E-1,2.725215256E-1,-2.163764685E-1,4.193813640E-1
1.483534833E0,-3.165341616E-1,2.761687338E-1,-1.407922357E-1,4.430411929E-1
1.493536833E0,-3.902360201E-1,2.633808255E-1,-9.616465122E-2,4.805218525E-1
1.503539833E0,-4.129733145E-1,2.736630142E-1,-4.384365678E-2,4.973536670E-1
1.513542833E0,-3.696461320E-1,3.057655096E-1,9.375966154E-3,4.798111279E-1
